ticker,action,confidence,mfpm_score,mode_w_score,sms_raw,sms_label,signal_mode,close,entry,sl,tp1,rr,amf_decision,best_pattern,hmm_state,stealth_accum
NSC,NO_ACTION,—,48,36,28,WHALE_DISTRIBUTING,MODE_A,73.7,73.2,71.0,78.9,2.59,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
TCB,NO_ACTION,—,48,46,38,RETAIL_DRIVEN,MODE_A,30.8,30.8,29.7,33.5,2.45,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
VCB,NO_ACTION,—,48,53,45,RETAIL_DRIVEN,MODE_A,59.0,59.0,56.9,64.4,2.57,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
HHS,NO_ACTION,—,45,51,51,MIXED,MODE_B,13.9,13.6,12.6,16.0,2.4,WARN,NONE,TRANSITIONAL,False
MBB,NO_ACTION,—,45,45,45,RETAIL_DRIVEN,MODE_A,26.85,26.3,25.2,29.2,2.64,WARN,NONE,TRANSITIONAL,False
PCE,NO_ACTION,—,45,30,30,WHALE_DISTRIBUTING,MODE_A,19.6,19.6,19.0,20.8,2.0,PASS,NONE,TRANSITIONAL,False
PET,NO_ACTION,—,45,46,31,RETAIL_DRIVEN,MODE_B,51.5,50.5,45.7,63.2,2.65,WARN,VCP,TRANSITIONAL,False
PTC,NO_ACTION,—,45,61,46,RETAIL_DRIVEN,MODE_A,6.85,6.85,6.5,7.5,1.86,PASS,WYCKOFF_SPRING,TRANSITIONAL,False
PVI,NO_ACTION,—,45,60,45,RETAIL_DRIVEN,MODE_A,79.8,79.3,75.5,89.4,2.66,PASS,VCP,STEADY_BEAR,False
SCI,NO_ACTION,—,45,50,50,RETAIL_DRIVEN,MODE_B,10.2,10.0,9.3,11.7,2.43,WARN,NONE,TRANSITIONAL,False
SMC,NO_ACTION,—,45,50,50,RETAIL_DRIVEN,MODE_B,12.5,12.2,11.6,13.7,2.5,WARN,NONE,TRANSITIONAL,False
TKU,NO_ACTION,—,45,29,29,WHALE_DISTRIBUTING,MODE_A,14.7,14.4,13.9,15.4,2.0,WARN,NONE,TRANSITIONAL,False
TTF,NO_ACTION,—,45,47,47,RETAIL_DRIVEN,MODE_A,2.69,2.7,2.5,3.0,1.5,PASS,NONE,STEADY_BEAR,False
VE9,NO_ACTION,—,45,45,45,RETAIL_DRIVEN,MODE_A,3.5,3.5,3.0,4.6,2.2,PASS,NONE,TRANSITIONAL,False
WCS,NO_ACTION,—,45,48,48,RETAIL_DRIVEN,MODE_A,275.0,275.0,258.5,318.9,2.66,PASS,NONE,TRANSITIONAL,False
YBM,NO_ACTION,—,45,41,41,RETAIL_DRIVEN,MODE_A,10.25,10.25,9.9,11.1,2.43,PASS,NONE,TRANSITIONAL,False
AGG,NO_ACTION,—,43,42,34,RETAIL_DRIVEN,MODE_A,12.85,12.85,12.2,14.5,2.54,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
DXG,NO_ACTION,—,43,57,49,RETAIL_DRIVEN,MODE_B,14.85,14.6,13.6,17.2,2.6,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False
EVG,NO_ACTION,—,43,30,22,WHALE_DISTRIBUTING,MODE_A,6.4,6.3,5.9,7.3,2.5,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
HAS,NO_ACTION,—,43,44,36,RETAIL_DRIVEN,MODE_A,8.1,8.1,7.8,8.4,1.0,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
MBG,NO_ACTION,—,43,41,33,RETAIL_DRIVEN,MODE_A,2.8,2.8,2.5,3.3,1.67,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
MCO,NO_ACTION,—,43,47,47,RETAIL_DRIVEN,MODE_B,5.5,5.4,5.0,6.3,2.25,WARN,NONE,STEADY_BEAR,False
TID,NO_ACTION,—,43,37,29,WHALE_DISTRIBUTING,MODE_A,21.7,21.7,20.4,25.2,2.69,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
TLH,NO_ACTION,—,43,42,34,RETAIL_DRIVEN,MODE_A,4.6,4.6,4.4,5.0,2.0,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
AAV,NO_ACTION,—,40,50,50,RETAIL_DRIVEN,MODE_B,8.7,8.5,7.6,10.6,2.33,WARN,NONE,TRANSITIONAL,False
API,NO_ACTION,—,40,46,46,RETAIL_DRIVEN,MODE_A,5.9,5.8,5.4,6.8,2.5,PASS,NONE,STEADY_BEAR,False
ASM,NO_ACTION,—,40,47,47,RETAIL_DRIVEN,MODE_A,5.68,5.68,5.4,6.3,2.21,PASS,NONE,STEADY_BEAR,False
BRC,NO_ACTION,—,40,27,27,WHALE_DISTRIBUTING,MODE_A,12.05,12.05,11.6,13.0,2.11,PASS,NONE,TRANSITIONAL,False
BSI,NO_ACTION,—,40,49,49,RETAIL_DRIVEN,MODE_A,37.2,36.5,34.4,41.9,2.57,WARN,NONE,TRANSITIONAL,False
BTP,NO_ACTION,—,40,47,47,RETAIL_DRIVEN,MODE_A,8.49,8.49,8.1,9.4,2.33,PASS,NONE,TRANSITIONAL,False
CPC,NO_ACTION,—,40,45,45,RETAIL_DRIVEN,MODE_A,17.7,17.6,16.9,19.3,2.43,WARN,NONE,TRANSITIONAL,False
CTS,NO_ACTION,—,40,48,48,RETAIL_DRIVEN,MODE_A,28.3,27.7,26.1,31.8,2.56,PASS,NONE,STEADY_BEAR,False
D2D,NO_ACTION,—,40,47,47,RETAIL_DRIVEN,MODE_A,36.75,36.75,35.6,39.3,2.22,PASS,NONE,TRANSITIONAL,False
DHG,NO_ACTION,—,40,27,27,WHALE_DISTRIBUTING,MODE_A,101.6,101.6,98.5,105.8,1.35,PASS,NONE,TRANSITIONAL,False
DLG,NO_ACTION,—,40,63,48,RETAIL_DRIVEN,MODE_A,2.92,2.9,2.7,3.3,2.0,WARN,VCP,TRANSITIONAL,False
DXV,NO_ACTION,—,40,50,50,RETAIL_DRIVEN,MODE_A,3.75,3.75,3.5,4.3,2.2,PASS,NONE,TRANSITIONAL,False
LDP,NO_ACTION,—,40,33,33,RETAIL_DRIVEN,MODE_A,8.1,8.1,7.6,9.4,2.6,PASS,NONE,STEADY_BEAR,False
LSS,NO_ACTION,—,40,46,46,RETAIL_DRIVEN,MODE_A,8.57,8.57,8.3,9.0,1.59,PASS,NONE,TRANSITIONAL,False
MSB,NO_ACTION,—,40,49,49,RETAIL_DRIVEN,MODE_A,11.55,11.4,11.0,12.3,2.25,PASS,NONE,STEADY_BEAR,False
NKG,NO_ACTION,—,40,36,36,RETAIL_DRIVEN,MODE_A,14.0,13.8,13.1,15.6,2.57,PASS,NONE,STEADY_BEAR,False
NTL,NO_ACTION,—,40,47,47,RETAIL_DRIVEN,MODE_A,16.2,16.2,15.4,18.2,2.5,PASS,NONE,STEADY_BEAR,False
PCH,NO_ACTION,—,40,49,49,RETAIL_DRIVEN,MODE_A,20.3,20.3,19.6,21.6,1.86,PASS,NONE,TRANSITIONAL,False
PMB,NO_ACTION,—,40,48,48,RETAIL_DRIVEN,MODE_A,10.9,10.8,10.4,11.3,1.25,PASS,NONE,TRANSITIONAL,False
PPC,NO_ACTION,—,40,49,49,RETAIL_DRIVEN,MODE_A,10.55,10.55,9.8,12.3,2.33,PASS,NONE,TRANSITIONAL,False
PSW,NO_ACTION,—,40,48,48,RETAIL_DRIVEN,MODE_A,8.2,8.2,7.8,9.2,2.5,PASS,NONE,TRANSITIONAL,False
SAB,NO_ACTION,—,40,37,37,RETAIL_DRIVEN,MODE_A,44.4,44.4,42.7,48.7,2.53,PASS,NONE,STEADY_BEAR,False
SCS,NO_ACTION,—,40,47,47,RETAIL_DRIVEN,MODE_A,54.3,53.6,51.9,58.1,2.65,PASS,NONE,TRANSITIONAL,False
SEB,NO_ACTION,—,40,15,15,WHALE_DISTRIBUTING,MODE_A,46.5,46.5,45.1,49.4,2.07,PASS,NONE,TRANSITIONAL,False
TN1,NO_ACTION,—,40,54,39,RETAIL_DRIVEN,MODE_A,16.5,16.5,15.7,18.4,2.37,PASS,VCP,TRANSITIONAL,False
TV4,NO_ACTION,—,40,46,46,RETAIL_DRIVEN,MODE_A,15.4,15.4,14.8,17.0,2.67,PASS,NONE,TRANSITIONAL,False
VCI,NO_ACTION,—,40,48,48,RETAIL_DRIVEN,MODE_A,27.55,27.0,25.3,31.4,2.59,PASS,NONE,TRANSITIONAL,False
VHC,NO_ACTION,—,40,37,22,WHALE_DISTRIBUTING,MODE_A,59.0,59.0,56.6,65.3,2.63,PASS,VCP,TRANSITIONAL,False
DBT,NO_ACTION,—,38,59,51,MIXED,MODE_A,10.8,10.8,10.3,12.0,2.4,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
FCM,NO_ACTION,—,38,53,45,RETAIL_DRIVEN,MODE_A,3.29,3.29,3.1,3.6,1.63,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
HCC,NO_ACTION,—,38,55,47,RETAIL_DRIVEN,MODE_A,25.0,25.0,22.5,31.4,2.56,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
SMB,NO_ACTION,—,38,53,45,RETAIL_DRIVEN,MODE_A,38.7,38.7,37.5,41.0,1.92,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
STB,NO_ACTION,—,38,54,46,RETAIL_DRIVEN,MODE_A,63.2,62.5,58.6,72.9,2.67,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
VIX,NO_ACTION,—,38,55,47,RETAIL_DRIVEN,MODE_A,17.05,16.7,15.5,19.9,2.67,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
VSH,NO_ACTION,—,38,56,48,RETAIL_DRIVEN,MODE_A,43.3,43.3,42.0,45.1,1.38,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
ANV,NO_ACTION,—,35,23,23,WHALE_DISTRIBUTING,MODE_A,23.55,23.4,22.2,26.5,2.58,PASS,NONE,STEADY_BEAR,False
ASG,NO_ACTION,—,35,35,35,RETAIL_DRIVEN,MODE_A,16.8,16.8,16.2,17.8,1.67,PASS,NONE,TRANSITIONAL,True
CLC,NO_ACTION,—,35,34,34,RETAIL_DRIVEN,MODE_A,55.0,55.0,52.0,63.0,2.67,PASS,NONE,TRANSITIONAL,False
COM,NO_ACTION,—,35,22,22,WHALE_DISTRIBUTING,MODE_A,33.25,32.8,30.8,38.0,2.6,WARN,NONE,TRANSITIONAL,False
DRH,NO_ACTION,—,35,22,22,WHALE_DISTRIBUTING,MODE_A,2.64,2.6,2.4,3.1,2.5,PASS,NONE,TRANSITIONAL,False
EID,NO_ACTION,—,35,32,32,RETAIL_DRIVEN,MODE_A,22.9,22.9,22.2,23.9,1.43,WARN,NONE,TRANSITIONAL,False
HCD,NO_ACTION,—,35,23,23,WHALE_DISTRIBUTING,MODE_A,7.94,7.94,7.6,8.6,1.94,PASS,NONE,TRANSITIONAL,False
HGM,NO_ACTION,—,35,36,36,RETAIL_DRIVEN,MODE_A,192.1,192.1,178.5,228.1,2.65,PASS,NONE,TRANSITIONAL,False
HLC,NO_ACTION,—,35,34,34,RETAIL_DRIVEN,MODE_A,13.2,13.2,12.2,15.7,2.5,PASS,NONE,TRANSITIONAL,False
HTV,NO_ACTION,—,35,21,21,WHALE_DISTRIBUTING,MODE_A,10.8,10.8,10.0,12.7,2.37,PASS,NONE,STEADY_BEAR,False
KHS,NO_ACTION,—,35,33,33,RETAIL_DRIVEN,MODE_A,15.6,15.6,15.0,17.0,2.33,PASS,NONE,TRANSITIONAL,False
L14,NO_ACTION,—,35,34,34,RETAIL_DRIVEN,MODE_A,23.3,23.3,21.7,27.3,2.5,PASS,NONE,TRANSITIONAL,False
L43,NO_ACTION,—,35,21,21,WHALE_DISTRIBUTING,MODE_A,3.0,2.9,2.3,4.2,2.17,WARN,NONE,TRANSITIONAL,False
MCF,NO_ACTION,—,35,15,15,WHALE_DISTRIBUTING,MODE_A,7.6,7.6,7.3,8.0,1.33,PASS,NONE,TRANSITIONAL,False
NET,NO_ACTION,—,35,36,36,RETAIL_DRIVEN,MODE_A,68.0,66.6,64.6,71.8,2.6,WARN,NONE,TRANSITIONAL,False
NST,NO_ACTION,—,35,36,36,RETAIL_DRIVEN,MODE_A,13.0,12.7,11.9,14.8,2.63,WARN,NONE,TRANSITIONAL,False
PAN,NO_ACTION,—,35,23,23,WHALE_DISTRIBUTING,MODE_A,31.7,31.1,29.3,35.7,2.56,PASS,NONE,TRANSITIONAL,False
PRE,NO_ACTION,—,35,38,38,RETAIL_DRIVEN,MODE_A,22.8,22.3,21.6,23.8,2.14,WARN,NONE,TRANSITIONAL,False
PSD,NO_ACTION,—,35,38,38,RETAIL_DRIVEN,MODE_A,16.8,16.6,15.6,19.2,2.6,PASS,NONE,TRANSITIONAL,False
S4A,NO_ACTION,—,35,8,38,WHALE_DISTRIBUTING,MODE_A,34.0,33.7,32.6,35.0,1.18,PASS,NONE,TRANSITIONAL,False
SAM,NO_ACTION,—,35,47,47,RETAIL_DRIVEN,MODE_B,7.03,6.9,6.6,7.7,2.67,WARN,NONE,TRANSITIONAL,False
SBT,NO_ACTION,—,35,26,26,WHALE_DISTRIBUTING,MODE_A,22.7,22.3,21.5,24.3,2.5,PASS,NONE,STEADY_BEAR,False
SJS,NO_ACTION,—,35,28,28,WHALE_DISTRIBUTING,MODE_A,48.95,48.95,46.9,54.2,2.56,PASS,NONE,STEADY_BEAR,False
SVC,NO_ACTION,—,35,34,34,RETAIL_DRIVEN,MODE_A,19.45,19.1,17.8,22.4,2.54,PASS,NONE,STEADY_BEAR,False
SVT,NO_ACTION,—,35,28,28,WHALE_DISTRIBUTING,MODE_A,11.4,11.4,11.0,12.3,2.25,PASS,NONE,TRANSITIONAL,False
TBC,NO_ACTION,—,35,27,27,WHALE_DISTRIBUTING,MODE_A,35.65,35.65,34.5,38.3,2.3,PASS,NONE,TRANSITIONAL,False
TDG,NO_ACTION,—,35,39,39,RETAIL_DRIVEN,MODE_A,2.67,2.6,2.4,2.9,1.5,WARN,NONE,STEADY_BEAR,False
TEG,NO_ACTION,—,35,28,28,WHALE_DISTRIBUTING,MODE_A,6.0,6.0,5.7,6.7,2.33,PASS,NONE,TRANSITIONAL,False
TMS,NO_ACTION,—,35,26,26,WHALE_DISTRIBUTING,MODE_A,40.8,40.8,39.2,44.9,2.56,PASS,NONE,TRANSITIONAL,False
TPB,NO_ACTION,—,35,35,35,RETAIL_DRIVEN,MODE_A,16.3,16.1,15.4,17.8,2.43,PASS,NONE,TRANSITIONAL,False
TTC,NO_ACTION,—,35,27,27,WHALE_DISTRIBUTING,MODE_A,10.0,10.0,9.7,10.5,1.67,PASS,NONE,STEADY_BULL,False
TVT,NO_ACTION,—,35,27,27,WHALE_DISTRIBUTING,MODE_A,15.6,15.6,14.8,17.6,2.5,PASS,NONE,STEADY_BEAR,False
TVD,NO_ACTION,—,35,37,37,RETAIL_DRIVEN,MODE_A,11.5,11.5,10.4,14.2,2.45,WARN,NONE,TRANSITIONAL,False
UDC,NO_ACTION,—,35,34,34,RETAIL_DRIVEN,MODE_A,3.4,3.3,2.9,4.3,2.5,WARN,NONE,TRANSITIONAL,False
VC7,NO_ACTION,—,35,28,28,WHALE_DISTRIBUTING,MODE_A,8.1,8.0,7.4,9.5,2.5,PASS,NONE,STEADY_BEAR,False
VCG,NO_ACTION,—,35,24,24,WHALE_DISTRIBUTING,MODE_A,22.25,22.0,20.2,26.8,2.67,PASS,NONE,TRANSITIONAL,False
VTB,NO_ACTION,—,35,39,39,RETAIL_DRIVEN,MODE_A,14.2,14.1,13.2,16.4,2.56,PASS,NONE,TRANSITIONAL,False
VTZ,NO_ACTION,—,35,35,35,RETAIL_DRIVEN,MODE_A,20.1,20.1,19.4,21.2,1.57,PASS,NONE,TRANSITIONAL,False
AAA,NO_ACTION,—,33,36,28,WHALE_DISTRIBUTING,MODE_A,7.02,7.02,6.7,7.7,2.13,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
APH,NO_ACTION,—,33,35,27,WHALE_DISTRIBUTING,MODE_A,5.61,5.61,5.4,6.1,2.33,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
APS,NO_ACTION,—,33,44,36,RETAIL_DRIVEN,MODE_A,6.2,6.2,5.8,7.2,2.5,WARN,RSI_DIV_BULLISH,STEADY_BEAR,False
BTS,NO_ACTION,—,33,44,36,RETAIL_DRIVEN,MODE_A,5.1,5.1,4.8,5.8,2.33,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
CCL,NO_ACTION,—,33,30,22,WHALE_DISTRIBUTING,MODE_A,4.95,4.95,4.7,5.4,1.8,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
CDC,NO_ACTION,—,33,43,35,RETAIL_DRIVEN,MODE_A,21.8,21.8,20.9,24.1,2.56,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
DAT,NO_ACTION,—,33,32,24,WHALE_DISTRIBUTING,MODE_A,8.5,8.4,8.0,9.4,2.5,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
ELC,NO_ACTION,—,33,31,23,WHALE_DISTRIBUTING,MODE_A,18.0,18.0,17.0,20.4,2.4,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
GEX,NO_ACTION,—,33,56,48,RETAIL_DRIVEN,MODE_A,37.0,36.3,33.7,43.0,2.58,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False
HTN,NO_ACTION,—,33,58,50,RETAIL_DRIVEN,MODE_A,7.52,7.4,6.9,8.6,2.4,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False
HVX,NO_ACTION,—,33,30,22,WHALE_DISTRIBUTING,MODE_A,2.2,2.2,1.9,2.9,2.33,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
PMS,NO_ACTION,—,33,36,28,WHALE_DISTRIBUTING,MODE_A,35.0,35.0,33.9,36.9,1.73,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
TA9,NO_ACTION,—,33,33,25,WHALE_DISTRIBUTING,MODE_A,11.9,11.9,11.5,12.8,2.25,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False
VIG,NO_ACTION,—,33,39,31,RETAIL_DRIVEN,MODE_A,4.7,4.7,4.4,5.4,2.33,WARN,RSI_DIV_BULLISH,STEADY_BEAR,False
VNG,NO_ACTION,—,33,36,28,WHALE_DISTRIBUTING,MODE_A,6.8,6.8,6.5,7.5,2.33,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
VPH,NO_ACTION,—,33,27,19,WHALE_DISTRIBUTING,MODE_A,3.8,3.8,3.5,4.5,2.33,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
ABR,NO_ACTION,—,30,46,46,RETAIL_DRIVEN,MODE_A,12.8,12.7,11.8,14.8,2.33,PASS,NONE,TRANSITIONAL,False
ACC,NO_ACTION,—,30,16,16,WHALE_DISTRIBUTING,MODE_A,12.45,12.45,11.6,14.7,2.65,PASS,NONE,TRANSITIONAL,False
AFX,NO_ACTION,—,30,40,40,RETAIL_DRIVEN,MODE_A,10.4,10.4,10.0,11.2,2.0,PASS,NONE,STEADY_BEAR,False
BVS,NO_ACTION,—,30,40,40,RETAIL_DRIVEN,MODE_A,26.7,26.3,24.7,30.6,2.69,WARN,NONE,STEADY_BEAR,False
CRE,NO_ACTION,—,30,66,51,MIXED,MODE_A,7.82,7.7,7.2,8.9,2.4,WARN,VCP,TRANSITIONAL,False
D11,NO_ACTION,—,30,51,51,MIXED,MODE_A,10.7,10.7,10.3,11.7,2.5,PASS,NONE,TRANSITIONAL,False
EBS,NO_ACTION,—,30,49,49,RETAIL_DRIVEN,MODE_A,11.1,11.1,10.2,13.2,2.33,PASS,NONE,TRANSITIONAL,False
HII,NO_ACTION,—,30,64,49,RETAIL_DRIVEN,MODE_A,5.53,5.5,5.1,6.4,2.25,WARN,VCP,TRANSITIONAL,False
HMC,NO_ACTION,—,30,44,44,RETAIL_DRIVEN,MODE_A,11.55,11.5,11.1,12.2,1.75,WARN,NONE,TRANSITIONAL,False
HQC,NO_ACTION,—,30,46,46,RETAIL_DRIVEN,MODE_A,2.65,2.65,2.5,3.0,2.33,PASS,NONE,TRANSITIONAL,False
HVH,NO_ACTION,—,30,49,49,RETAIL_DRIVEN,MODE_A,11.95,11.95,11.5,13.0,2.33,PASS,NONE,TRANSITIONAL,False
IMP,NO_ACTION,—,30,42,42,RETAIL_DRIVEN,MODE_A,55.3,55.3,53.6,59.0,2.18,PASS,NONE,TRANSITIONAL,False
KDH,NO_ACTION,—,30,46,31,RETAIL_DRIVEN,MODE_A,26.3,26.0,24.5,29.9,2.6,PASS,VCP,TRANSITIONAL,False
LHG,NO_ACTION,—,30,47,47,RETAIL_DRIVEN,MODE_A,28.25,28.25,27.3,30.6,2.47,PASS,NONE,TRANSITIONAL,False
MBS,NO_ACTION,—,30,50,50,RETAIL_DRIVEN,MODE_A,24.1,23.9,21.7,29.6,2.59,WARN,NONE,STEADY_BEAR,False
NHH,NO_ACTION,—,30,43,28,WHALE_DISTRIBUTING,MODE_A,10.05,10.05,9.7,10.9,2.43,PASS,VCP,STEADY_BEAR,False
PTI,NO_ACTION,—,30,35,20,WHALE_DISTRIBUTING,MODE_A,30.0,30.0,28.2,34.7,2.61,WARN,WYCKOFF_SPRING,STEADY_BEAR,False
PTS,NO_ACTION,—,30,18,18,WHALE_DISTRIBUTING,MODE_A,9.2,9.2,8.9,9.7,1.67,PASS,NONE,STEADY_BEAR,False
SBA,NO_ACTION,—,30,47,47,RETAIL_DRIVEN,MODE_A,28.5,28.5,27.6,30.4,2.11,PASS,NONE,TRANSITIONAL,False
SFI,NO_ACTION,—,30,49,49,RETAIL_DRIVEN,MODE_A,27.5,27.5,26.4,30.4,2.64,PASS,NONE,TRANSITIONAL,False
SHS,NO_ACTION,—,30,49,49,RETAIL_DRIVEN,MODE_A,17.4,17.1,15.5,21.3,2.62,PASS,NONE,STEADY_BEAR,False
SLS,NO_ACTION,—,30,46,46,RETAIL_DRIVEN,MODE_A,161.2,161.2,156.3,166.8,1.14,PASS,NONE,TRANSITIONAL,False
TCO,NO_ACTION,—,30,52,52,MIXED,MODE_B,14.0,13.7,12.8,15.9,2.44,WARN,NONE,TRANSITIONAL,False
TDM,NO_ACTION,—,30,50,50,RETAIL_DRIVEN,MODE_A,55.0,55.0,53.0,60.2,2.6,WARN,NONE,TRANSITIONAL,False
THT,NO_ACTION,—,30,49,49,RETAIL_DRIVEN,MODE_A,9.4,9.4,8.7,11.1,2.43,PASS,NONE,TRANSITIONAL,False
TLD,NO_ACTION,—,30,40,40,RETAIL_DRIVEN,MODE_A,8.3,8.3,7.9,9.1,2.0,PASS,NONE,TRANSITIONAL,False
TPP,NO_ACTION,—,30,52,37,RETAIL_DRIVEN,MODE_A,10.5,10.5,9.8,12.2,2.43,PASS,VCP,TRANSITIONAL,False
TV2,NO_ACTION,—,30,48,48,RETAIL_DRIVEN,MODE_A,38.2,38.2,35.7,44.8,2.64,PASS,NONE,TRANSITIONAL,False
UIC,NO_ACTION,—,30,44,44,RETAIL_DRIVEN,MODE_A,61.5,60.9,59.0,64.9,2.11,WARN,NONE,TRANSITIONAL,False
VC3,NO_ACTION,—,30,49,49,RETAIL_DRIVEN,MODE_A,26.5,26.2,25.4,28.3,2.62,PASS,NONE,TRANSITIONAL,False
VC9,NO_ACTION,—,30,52,52,MIXED,MODE_B,5.3,5.2,4.8,6.1,2.25,WARN,NONE,TRANSITIONAL,False
VFG,NO_ACTION,—,30,44,29,WHALE_DISTRIBUTING,MODE_A,49.2,49.2,47.7,51.7,1.67,PASS,VCP,TRANSITIONAL,False
VIB,NO_ACTION,—,30,45,45,RETAIL_DRIVEN,MODE_A,16.95,16.95,16.3,18.5,2.38,PASS,NONE,TRANSITIONAL,False
VIC,NO_ACTION,—,30,32,17,WHALE_DISTRIBUTING,MODE_A,141.6,138.8,127.1,169.9,2.66,PASS,VCP,STEADY_BEAR,False
VHM,NO_ACTION,—,30,30,30,WHALE_DISTRIBUTING,MODE_B,110.2,108.0,101.5,125.3,2.66,WARN,NONE,TRANSITIONAL,False
VND,NO_ACTION,—,30,47,47,RETAIL_DRIVEN,MODE_A,16.3,16.0,15.0,18.6,2.6,PASS,NONE,STEADY_BEAR,False
VRC,NO_ACTION,—,30,52,52,MIXED,MODE_A,13.05,13.05,12.0,15.7,2.52,PASS,NONE,TRANSITIONAL,False
VTH,NO_ACTION,—,30,41,41,RETAIL_DRIVEN,MODE_A,8.7,8.7,8.3,9.6,2.25,PASS,NONE,TRANSITIONAL,False
ADS,NO_ACTION,—,28,38,30,WHALE_DISTRIBUTING,MODE_A,8.61,8.4,8.1,9.1,2.33,WARN,RSI_DIV_BULLISH,TRANSITIONAL,False
NHA,NO_ACTION,—,28,38,30,WHALE_DISTRIBUTING,MODE_B,13.25,13.0,12.1,15.2,2.44,WARN,RSI_DIV_BULLISH,STEADY_BEAR,False
S99,NO_ACTION,—,28,46,46,RETAIL_DRIVEN,MODE_B,9.1,8.9,8.2,10.7,2.57,WARN,NONE,TRANSITIONAL,False
VC2,NO_ACTION,—,28,50,35,RETAIL_DRIVEN,MODE_B,5.1,5.0,4.6,6.0,2.5,WARN,VCP,TRANSITIONAL,False
ABT,NO_ACTION,—,25,38,38,RETAIL_DRIVEN,MODE_A,60.8,60.8,58.7,66.3,2.62,PASS,NONE,STEADY_BEAR,False
AAM,NO_ACTION,—,25,27,27,WHALE_DISTRIBUTING,MODE_A,6.2,6.2,5.9,6.8,2.0,PASS,NONE,TRANSITIONAL,False
ACL,NO_ACTION,—,25,38,23,WHALE_DISTRIBUTING,MODE_A,12.9,12.9,12.0,15.3,2.67,WARN,WYCKOFF_SPRING,STEADY_BEAR,False
ADP,NO_ACTION,—,25,32,32,RETAIL_DRIVEN,MODE_A,22.9,22.9,22.2,23.8,1.29,PASS,NONE,TRANSITIONAL,False
